preset	batch_size	activation_function	#_of_layers	layer_size	training_epoch	weight_init	optimizer	weight_decay	dropout	training_time	early_stopping	val_maxAcc	timestamp
1	200	relu	3	(300, 200)	30	None	adam	0.0010	0	0.7523635307947795	28	0.98580002784729	1600524402
2	200	relu	4	(200, 200, 200)	100	None	adam	0.0010	0	2.478218102455139	69	0.9847999811172485	1600524448
3	200	relu	4	(600, 600, 800)	100	None	adam	0.0010	0	9.221939726670582	94	0.9861999750137329	1600524599
4	200	relu	4	(200, 200, 200)	100	None	adam	0.0010	0	2.566292723019918	63	0.9865999817848206	1600525154
5	200	relu	4	(200, 200, 200)	100	he	adadelta	0.0010	0	3.4457813183466595	100	0.8398000001907349	1600525309
6	200	relu	4	(200, 200, 200)	100	he	adam	0.0010.01	0	2.665226336320241	69	0.9314000010490417	1600525518
7	200	relu	4	(200, 200, 200)	100	he	adam	0.010.01	0	2.5585669318834943	49	0.9052000045776367	1600525679
8	200	relu	4	(200, 200, 200)	100	he	adam	0.010.01	0.2	3.0273846785227456	20	0.8650000095367432	1600525835
9	100	relu	3	(300, 200)	100	None	adam	0.001	0	0	3.386398506164551	84	0.9864000082015991	1600530900
10	100	relu	4	(300, 200, 200)	100	None	adam	0.001	0	0	4.095226812362671	93	0.9868000149726868	1600531106
11	100	relu	5	(300, 200, 200, 200)	100	None	adam	0.001	0	0	4.480572108427683	29	0.9873999953269958	1600531353
12	100	relu	6	(300, 200, 200, 200, 200)	100	None	adam	0.001	0	0	5.430303510030111	76	0.9860000014305115	1600531624
13	100	relu	7	(300, 200, 200, 200, 200, 200)	100	None	adam	0.001	0	0	5.71440730492274	66	0.9854000210762024	1600531952
14	100	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0	0	4.593287499745687	96	0.9861999750137329	1600532298
15	100	relu	5	(300, 200, 200, 200)	100	xe	adam	0.001	0	0	4.467393966515859	29	0.9855999946594238	1600532575
16	100	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.1	0	4.263875846068064	3	0.11259999871253967	1600534322
17	100	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.01	0	4.402517036596934	65	0.9258000254631042	1600534579
18	100	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.001	0	4.321447543303171	80	0.9778000116348267	1600534845
19	100	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.001	0.2	5.317518770694733	80	0.9660000205039978	1600535471
20	100	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.001	0.5	5.414991581439972	96	0.9441999793052673	1600535793
21	100	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.001	0.8	6.050313937664032	100	0.7486000061035156	1600536121
22	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.001	0.2	4.173080225785573	98	0.9692000150680542	1600536941
23	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.001	0.15	4.070753320058187	24	0.9700000286102295	1600538009
24	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.001	0.25	4.30415403842926	91	0.9649999737739563	1600539081
25	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.001	0.3	4.462690512339274	96	0.9638000130653381	1600539342
26	200	relu	5	(300, 200, 200, 200)	100	he	adadelta	0.001	0.001	0.2	4.988321654001871	100	0.38019999861717224	1600540086
27	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.01	0.2	4.232514011859894	92	0.9035999774932861	1600540920
28	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.1	0.2	4.217970848083496	52	0.11559999734163284	1600541176
29	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	1	0.2	4.172052049636841	8	0.11659999936819077	1600541432
30	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	10	0.2	4.260332469145457	4	0.11599999666213989	1600541685
31	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.001	0.0001	0.2	3.9276418964068096	59	0.9811999797821045	1600542256
32	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.01	0.0001	0.2	4.110672092437744	19	0.9453999996185303	1600544417
33	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.1	0.0001	0.2	4.34507182041804	1	0.11259999871253967	1600544666
34	200	relu	5	(300, 200, 200, 200)	100	he	adam	1	0.0001	0.2	4.380726746718088	7	0.11259999871253967	1600544929
35	200	relu	5	(300, 200, 200, 200)	100	he	adam	0.0001	0.0001	0.2	5.1025887330373125	87	0.9779999852180481	1600545195
36	200	relu	4	(300, 200, 200)	100	he	adam	0.001	0.0001	0.2	3.7139614383379618	87	0.9811999797821045	1600546465
37	200	relu	4	(300, 200, 200)	100	he	adam	0.001	0.01	0.2	3.6349635481834413	78	0.9124000072479248	1600546968
